name,year,vote_average,page_url,image_url,genres,director,actors,description
Everybody Hates Chris,2005.0,8.076,https://www.themoviedb.org/tv/252,https://image.tmdb.org/t/p/w500/4BYXh0cY3AyyUB05CTLVJO5FjCM.jpg,Comedy,"Chris Rock, Ali LeRoi","Tyler James Williams, Tichina Arnold, Terry Crews, Imani Hakim, Tequan Richmond","Chris is a teenager growing up as the eldest of three children in Brooklyn, New York during the early 1980s. Uprooted to a new neighborhood and bused to a predominantly white middle school two-hours away by his strict, hard-working parents, Chris struggles to find his place while keeping his siblings in line at home and surmounting the challenges of junior high."
Never Have I Ever,2020.0,8.076,https://www.themoviedb.org/tv/100883,https://image.tmdb.org/t/p/w500/hd5fnBixab6IzfUwjC5wfdbX3eM.jpg,"Comedy, Drama","Mindy Kaling, Lang Fisher","Maitreyi Ramakrishnan, Darren Barnet, Poorna Jagannathan, Jaren Lewison, Lee Rodriguez","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her."
Black Bird,2022.0,8.076,https://www.themoviedb.org/tv/155537,https://image.tmdb.org/t/p/w500/qu312pwM61NPTr7nexvovCClDNP.jpg,"Drama, Crime",Dennis Lehane,"Taron Egerton, Paul Walter Hauser, Sepideh Moafi, Greg Kinnear, Ray Liotta","As Jimmy Keene begins a 10-year prison sentence, he gets an incredible offer: If he can elicit a confession from suspected killer Larry Hall, Jimmy will be freed. Completing this mission becomes the challenge of a lifetime."
What If...?,2021.0,8.076,https://www.themoviedb.org/tv/91363,https://image.tmdb.org/t/p/w500/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",Not specified,Jeffrey Wright,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments."
Baki Hanma,2021.0,8.076,https://www.themoviedb.org/tv/129600,https://image.tmdb.org/t/p/w500/x145FSI9xJ6UbkxfabUsY2SFbu3.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",Not specified,Not specified,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained."
Your Honor,2020.0,8.073,https://www.themoviedb.org/tv/86430,https://image.tmdb.org/t/p/w500/1rWWgTEDFdV330aLgCoaq7I56lk.jpg,"Drama, Crime",Peter Moffat,"Bryan Cranston, Hope Davis, Isiah Whitlock, Jr., Michael Stuhlbarg, Lilli Kay",New Orleans judge Michael Desiato is forced to confront his own deepest convictions when his son is involved in a hit and run that embroils an organized crime family.
Modern Marvels,1993.0,8.067,https://www.themoviedb.org/tv/6145,https://image.tmdb.org/t/p/w500/uRMi6q4mazNTZ2HKdiY6RP5noDW.jpg,Documentary,Bruce Nash,Not specified,"HISTORY’s longest-running series moves to H2. Modern Marvels celebrates the ingenuity, invention and imagination found in the world around us. From commonplace items like ink and coffee to architectural masterpieces and engineering disasters, the hit series goes beyond the basics to provide insight and history into things we wonder about and that impact our lives. This series tells fascinating stories of the doers, the dreamers and sometime-schemers that create everyday items, technological breakthroughs and manmade wonders. The hit series goes deep to explore the leading edge of human inspiration and ambition."
Godfather of Harlem,2019.0,8.067,https://www.themoviedb.org/tv/79086,https://image.tmdb.org/t/p/w500/avhyzJycLNi3nXov2lREhDkP3ik.jpg,"Drama, Crime","Paul Eckstein, Chris Brancato","Forest Whitaker, Erik LaRay Harvey, Ilfenesh Hadera, Antoinette Crowe-Legacy, Lucy Fry","Loosely based on infamous crime boss Bumpy Johnson, who in the early 1960s returned from ten years in prison to find the neighborhood he once ruled in shambles. With the streets controlled by the Italian mob, Bumpy attempts to regain his piece of Harlem."
The Expanse,2015.0,8.065,https://www.themoviedb.org/tv/63639,https://image.tmdb.org/t/p/w500/8djpxDeWpINnGhjpFXQjnBe6zbx.jpg,"Drama, Mystery, Sci-Fi & Fantasy","Mark Fergus, Hawk Ostby","Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo, Frankie Adams",A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.
The Marvelous Mrs. Maisel,2017.0,8.065,https://www.themoviedb.org/tv/70796,https://image.tmdb.org/t/p/w500/zS7fQiOZiKCVH2vlYSiIsFWW8hh.jpg,"Comedy, Drama",Amy Sherman-Palladino,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Tony Shalhoub, Marin Hinkle","It’s 1958 Manhattan and Miriam “Midge” Maisel has everything she’s ever wanted - the perfect husband, kids, and Upper West Side apartment. But when her life suddenly takes a turn and Midge must start over, she discovers a previously unknown talent - one that will take her all the way from the comedy clubs of Greenwich Village to a spot on Johnny Carson’s couch."
Shangri-La Frontier,2023.0,8.063,https://www.themoviedb.org/tv/205050,https://image.tmdb.org/t/p/w500/aCGdpgNkgz66R1winFkTFsMAhlC.jpg,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Not specified,"Yuma Uchida, Azumi Waki, Yoko Hikasa, Makoto Koichi, Rina Hidaka","Rakuro Hizutome only cares about one thing: beating crappy VR games. He devotes his entire life to these buggy games and could clear them all in his sleep. One day, he decides to challenge himself and play a popular god-tier game called Shangri-La Frontier. But he quickly learns just how difficult it is. Will his expert skills be enough to uncover its hidden secrets?"
