,name,year,vote_average,page_url,image_url,genres,director,actors,description
11,For the Sake of the Republic,2003,9.2,https://www.themoviedb.org/tv/66498,https://image.tmdb.org/t/p/original/7D9DVvIgAllcwWPK0FHneL8jaFf.jpg,"Drama,War&Politics",Zhang Li,"Lü Zhong, Wang Bing, Sun Chun, Ma Shaohua, Li Guangjie","Towards the Republic, also known as For the Sake of the Republic and Zou Xiang Gong He, is a Chinese historical television series first broadcast on CCTV in China from April to May 2003. The series is based on events that occurred in China between the late 19th century and early 20th century that led to the collapse of the Qing Dynasty and the founding of the Republic of China. Owing to its portrayal of historical issues deemed politically sensitive by the Chinese government, the series has been subject to censorship in mainland China."
12,Ice Fantasy,2016,5.9,https://www.themoviedb.org/tv/67015,https://image.tmdb.org/t/p/original/kmXMaUqlyzOQ0zN5e7zPwd8kawa.jpg,"Sci-Fi&Fantasy,Drama,War&Politics",Guo Jingming,"William Feng, Victoria Song, Ma Tianyu, Zhang Meng, Madina Memet","A century after the war between the Ice and Fire Tribes, Prince Ka Suo of the Ice Tribe becomes king, searching for his missing lover and brother. He uncovers a dark conspiracy within his tribe, unaware that his brother, now the Fire Prince with no memory of his past, is leading the Fire Tribe. As tensions rise, the brothers are forced into a new conflict, this time against each other."
13,China Beach,1988,7.4,https://www.themoviedb.org/tv/2294,https://image.tmdb.org/t/p/original/hAHjHqh9b31xljMxSc6PBet3a1X.jpg,"Drama,War&Politics","John Wells, John Sacret Young","Dana Delany, Marg Helgenberger, Michael Boatman, Troy Evans, Nancy Giles","Dateline: November 1967. Within klicks of Danang, Vietnam, sits a U.S. Army base, bar and hospital on China Beach filled with wounded soldiers and one very lovely but damaged Army Nurse Colleen McMurphy. Many heroes, dead and alive, try to make sense of life and death in between bourbon, bullets and battles."
14,Soldier Soldier,1991,6.6,https://www.themoviedb.org/tv/13587,https://image.tmdb.org/t/p/original/xTViK9932qvFrEOJznd82HTsl92.jpg,"Drama,War&Politics",Lucy Gannon,Unknown,"The daily lives of a group of soldiers in 'B' Company, 1st Battalion The King's Fusiliers."
16,Heroes of Sui and Tang Dynasties,2012,0.0,https://www.themoviedb.org/tv/136651,https://image.tmdb.org/t/p/original/xDWhzwXcp8dAn6unvA87nE7Dqh3.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Ban Jing Hui, Xu Wei","Heroes emerged in large numbers during the tumultuous and short-lived Sui to early Tang dynasty period. Most famous among them are Qin Qiong, Luo Cheng, Cheng Yao Jin, Shan Xiong Xin and Wei Chi Gong, known as the ""Five Tigers of Sui and Tang"", who would help Li Shi Min defeat rebels and rivals and pacify the land. The drama will start with the establishment of the Sui dynasty and end with Li Shi Min's ascension to the throne."
17,The Pacific,2010,7.782,https://www.themoviedb.org/tv/16997,https://image.tmdb.org/t/p/original/x9Y1IMFdY8Ma222KcQadFEau0EB.jpg,"Drama,Action&Adventure,War&Politics",Bruce C. McKenna,"James Badge Dale, Jon Seda, Joseph Mazzello, Ashton Holmes, Jacob Pitts","Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers."
18,Medici: Masters of Florence,2016,7.737,https://www.themoviedb.org/tv/66761,https://image.tmdb.org/t/p/original/vFtsI6Nk3cy2l4LGoh1aFRZKaQ7.jpg,"Drama,War&Politics","Nicholas Meyer, Frank Spotnitz","Daniel Sharman, Synnøve Karlsen, Alessandra Mastronardi, Sebastian de Souza, Francesco Montanari","The story of the Medici family of Florence, their ascent from simple merchants to power brokers sparking an economic and cultural revolution. Along the way, they also accrue a long list of powerful enemies."
19,Sharpe,1993,8.0,https://www.themoviedb.org/tv/225,https://image.tmdb.org/t/p/original/adoq3P4qCeDquGXjtcwDDXECESH.jpg,"Action&Adventure,War&Politics",Unknown,"Sean Bean, Daragh O'Malley","Sharpe is a British series of television dramas starring Sean Bean as Richard Sharpe, a fictional British soldier in the Napoleonic Wars. Sharpe is the hero of a number of novels by Bernard Cornwell; most, though not all, of the episodes are based on the books. Produced by Celtic Films and Picture Palace Films for the ITV network, the series was shot mainly in Turkey and the Crimea, although some filming was also done in England, Spain and Portugal.

The series originally ran from 1993 to 1997. In 2004, as part of ITV's new set of drama, ITV announced that it intended to produce new episodes of Sharpe, in co-production with BBC America, loosely based on his time in India, with Sean Bean continuing his role as Sharpe. Sharpe's Challenge is a two-part adventure; part one premiered on ITV on 23 April 2006, with part two being shown the following night. With more gore than earlier episodes, the show was broadcast by BBC America in September 2006."
20,North and South,1985,7.418,https://www.themoviedb.org/tv/3266,https://image.tmdb.org/t/p/original/yd6Gtg8GntTsOqPf27gGIkS9vIe.jpg,"Drama,War&Politics",Richard T. Heffron,"James Read, Lesley-Anne Down, Patrick Swayze, Philip Casnoff, Terri Garber","The story of the enduring friendship between Orry Main of South Carolina and George Hazard of Pennsylvania, who become best friends while attending the United States Military Academy at West Point but later find themselves and their families on opposite sides of the American Civil War."
21,The Heroic Legend of Arslan,2015,6.975,https://www.themoviedb.org/tv/62430,https://image.tmdb.org/t/p/original/p6F6pGoNNtIViDxHkU4wDeseiyJ.jpg,"Drama,Action&Adventure,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Yusuke Kobayashi, Daisuke Namikawa, Yoshimasa Hosoya, Natsuki Hanae, Kenta Miyake","Arslan is the heir apparent of Pars, a strong nation that sits at the hear of the trade route connecting the East and the West. When the pagan nation of Lusitania begins an invasion of Pars, the timid Arslan is confronted with battle for the first time. His worst anxieties are realized the Parsian army falls for a Lusitanian stratagem and are routed. He barely escapes with his life, thanks to the loyal and indomitable warrior Daryun. Together they will stand against the invasion and the cruelties of fate that are about to blow down on Pars."
