,name,year,vote_average,page_url,image_url,genres,director,actors,description
144,Snow Leopard,2010,7.636,https://www.themoviedb.org/tv/80447,https://image.tmdb.org/t/p/original/k5MP6w8cFLTMpG3TbxENUP7RckG.jpg,War&Politics,Chen Haowei,"Wen Zhang, Zhu Jie, Du Yuming, Qiao Pengyue, Wu Xiubo","The story of Zhou Wen, a graduate of Whampoa Military Academy for rich kids. After being sentenced to death for murder, he was able to escape. Changing his name to Zhou Wei Guo and joining the military, he went on to create the special operations task force known as “Snow Leopard” to fight off the Japanese during WWII."
145,Resurrection: Ertugrul,2014,7.851,https://www.themoviedb.org/tv/66017,https://image.tmdb.org/t/p/original/rOar34cNLn2sgDH5FmAa1bvMpBv.jpg,"Drama,Action&Adventure,War&Politics",Mehmet Bozdağ,"Engin Altan Düzyatan, Hülya Darcan, Didem Balçın, Cengiz Coşkun, Nurettin Sönmez",Ertuğrul Bey and the Knights Templar in the 13th century Alba and step and step with the struggle against brutal Mongols depicts the process of establishing the Ottoman principality.
146,Dolls' Frontline,2022,6.741,https://www.themoviedb.org/tv/117310,https://image.tmdb.org/t/p/original/ip5Zx3RWxzNuRUDYpPwPrjsPOo.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Yume Maihara, Karin Mitarai, Haruka Tomatsu, Nozomi Yamane, Emiri Kato","In the fallout of nuclear war, the last of humanity survives with the help of life-like androids known as Dolls. Built to serve, some fight in wars as Tactical Dolls or T-Dolls. Now, an elite team comprised of T-Dolls are sent to face a new rogue threat, Sangvis Ferri. Leading them into battle is their new human commander, M4A1."
147,Omar,2012,8.9,https://www.themoviedb.org/tv/58887,https://image.tmdb.org/t/p/original/yLxq3KAuKeRHtEVR64QLrSPft6J.jpg,"Drama,War&Politics",Walid Seif,"Ghassan Massoud, Samer Ismail, Mehyar Khaddour, Mai Skaf, Bernadette Hodeib",A historical saga about the second caliph and Commander of the Faithful Omar Bin Al-Khattab and his pivotal role in the Islamic State.
148,Hideyoshi,1996,9.5,https://www.themoviedb.org/tv/95495,https://image.tmdb.org/t/p/original/z5iM8xexccatdttujrVWCAaBYdi.jpg,"Drama,War&Politics",Unknown,"Naoto Takenaka, Yasuko Sawaguchi, Tetsuya Watari, Masanobu Takashima, Etsuko Ichihara","A dramatized biography of the second of Japan's three legendary leaders. Rising from obscurity, Hideyoshi served under the command of Oda Nobunaga. With an extraordinary combination of intelligence, bravery and military skill, Hideyoshi rose to near-absolute power and greatly expanded upon Nobunaga's unification of Japan's warlords. This series also focused on Hideyoshi's personal life, particularly his relationships with his mother and his wife, and the pair's rivalry for influence over him."
149,Bodyguard,2018,7.767,https://www.themoviedb.org/tv/80307,https://image.tmdb.org/t/p/original/5DUJTrHTRLHLCKWriPhdusQogAv.jpg,"Crime,Drama,Mystery,War&Politics",Jed Mercurio,"Richard Madden, Keeley Hawes, Sophie Rundle, Gina McKee, Pippa Haywood",A troubled war veteran is assigned to protect a controversial politician who may be the target of a terror plot.
150,Once Upon a Time in Qingdao,2015,7.5,https://www.themoviedb.org/tv/66969,https://image.tmdb.org/t/p/original/seUGCkzta4Ttd2GMk239Vs4VJDi.jpg,"Drama,War&Politics",Xinjian Zhang,"Huang Bo, Liu Xiangjing, Gong Zheng, Wang Shuangbao, Sa Rina",The series follows the lives of three brothers as they struggle through the turbulent political period before the war. They become part of the first-generation immigrant entrepreneurial path in Qingdao. The story began in 1904 when the Jinan Railway opened and ends with the outbreak of war in 1937.
151,Awaiting Kirin,2020,8.4,https://www.themoviedb.org/tv/98928,https://image.tmdb.org/t/p/original/q154lnWWb033iljRHvPUhPNsv6p.jpg,"Drama,War&Politics",Unknown,"Masahiro Motoki, Shota Sometani, Hiroki Hasegawa, Haruna Kawaguchi, Satoshi Tokushige","After the Onin War, the world is plunged into chaos. Amid this situation, heroes of the warring states begin to emerge in an attempt to unify the country and rule in these turbulent times. In the mid-1540s, there is a young wandering samurai in Mino which is strategically located between the East and West. His name is Akechi Mitsuhide. At this time, there is plenty of internal strife within the Toki clan which rules Mino. Surrounded by the Oda of Owari, the Imagawa of Suruga and the Asakura of Echizen, Mino has constantly faced the risk of invasion. Mitsuhide is pulled into battle and destroys the enemy. His bravery as well as stratagem catches the attention of Saito Toshimasa, the chief retainer of the Toki clan, and he is singled out. This man who is also known as Saito Dosan will go on to takeover the Toki and make Mino his own."
152,Zero Day Attack,2025,6.5,https://www.themoviedb.org/tv/259823,https://image.tmdb.org/t/p/original/aPAO85TnHDt70g5c0hcLfJGgstm.jpg,"Crime,War&Politics",羅景壬,Unknown,"Post-election tensions rise as the acting president provokes China, leading to PLA drills and looming invasion. As Zero Day nears, the president must choose war, and the island faces a critical choice for its future."
153,TURN: Washington's Spies,2014,7.111,https://www.themoviedb.org/tv/57276,https://image.tmdb.org/t/p/original/AehTUycX0VSvCkOOkZzurLnjHsS.jpg,"Drama,War&Politics",Craig Silverstein,"Jamie Bell, Seth Numrich, Heather Lind, Meegan Warner, Burn Gorman","The story of New York farmer, Abe Woodhull, who bands together with a group of childhood friends to form The Culper Ring, an unlikely group of spies who turn the tide in America’s fight for independence."
154,Trespasses,2025,0.0,https://www.themoviedb.org/tv/260650,https://image.tmdb.org/t/p/original/ucwjasSOz2pr4TsRycK7Muegsh2.jpg,"Drama,War&Politics",Louise Kennedy,"Gillian Anderson, Lola Petticrew, Tom Cullen, Martin McCann, Gerard McCarthy","When young Catholic teacher Cushla falls for a married Protestant man, their secret passion ignites a dangerous love that defies the Troubles divide."
155,The Rat Patrol,1966,7.2,https://www.themoviedb.org/tv/13908,https://image.tmdb.org/t/p/original/wHJQ7QpmcqY0x6kGdlAwoJToUmo.jpg,"Action&Adventure,War&Politics",Tom Gries,"Christopher George, Gary Raymond, Eric Braeden, Lawrence P. Casey, Justin Tarr","The exploits of four Allied soldiers — three Americans and one Englishman — who are part of a long-range desert patrol group in the North African campaign during World War II. Their mission: ""to attack, harass and wreak havoc on Field Marshal Rommel's vaunted Afrika Korps""."
156,Mobile Suit Gundam MS IGLOO,2004,6.5,https://www.themoviedb.org/tv/44919,https://image.tmdb.org/t/p/original/8nV8FNnM8HxU8bjQjlVS0wTgo1z.jpg,"Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Tamio Ohki, Hideo Ishikawa, Miki Nagasawa, Dai Matsumoto, Jun Fukuyama","The year is Universal Century 0079. Oliver May is a technical officer in the Zeon 603rd Technical Evaluation Unit , in charge of testing new military technology. Stationed in the Jotunheim, a civilian transport ship that was converted into military use, Oliver must head into battle and experience the One Year War, only this time from the perspective of a weapon tester who struggles to make an impact on an evolving war during changing times."
157,White Deer Plain,2017,7.7,https://www.themoviedb.org/tv/72312,https://image.tmdb.org/t/p/original/kThC2mtOUgjJoOavaBUeUT03UZK.jpg,"Drama,War&Politics",Chen Zhongshi,"Zhang Jiayi, He Bing, Qin Hailu, Liu Peiqi, Li Hongtao","Set in the eponymous White Deer Village in Shaanxi Province where the two most important families – Bai and Lu – and their sons have always lived together in peace. But the turmoil leads to a fierce struggle for land ownership. A young woman new to the village soon finds herself caught between the two camps. Director Liu Jin uses the story of these two families as a metaphor for the fate of the Chinese people as first Chinese war lords are overrun by Japanese invaders, then civil war follows hot on the heels of the Second World War and finally the victorious Maoists begin waving their red flags. The drama is based off the novel by Chen Zhong Shi."
158,Into The Ring,2020,7.6,https://www.themoviedb.org/tv/104735,https://image.tmdb.org/t/p/original/1d8szoDrvv0jZILRO1BEuaehhVv.jpg,"Comedy,War&Politics",Hwang Seung-ki,"Nana, Park Sung-hoon, Yoo Da-in, Han Jun-woo, Oh Dong-min",A poor young woman decides to try her hand at civil service when she hears that a district representative position has an annual salary of 50 million won. She teams up with the newly-demoted Seo Gong Myung to penalize corrupt politicians.
159,Rookie Agent Rouge,2016,5.6,https://www.themoviedb.org/tv/68033,https://image.tmdb.org/t/p/original/agiOI14740y3FCgUrtX5wmWxzJ3.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Zhao Liying, Lu Yi, Tao Xinran, Yuan Wenkang, Ye Feng","Can  a young woman prove her loyalty to her country and her family? Lan Yan  Zhi is a privileged banker’s daughter in Shanghai and a  student activist who mistakenly comes into possession of a letter from  the Japanese Army in 1937. She gets misunderstood for a spy by her  crush, Zhou Yu Hao, an upstanding officer in the Chinese Army.  To prove her innocence, Yan Zhi agrees to infiltrate the home of her  best friend, Feng Man Na, and help Yu Hao track down a  mysterious “Mister Traitor.” But what will Yan Zhi do when the search  leads to a member of her own family?"
160,Chief of Staff,2019,8.152,https://www.themoviedb.org/tv/89642,https://image.tmdb.org/t/p/original/95U7TJGxDP6OHeAF5HP78as7eff.jpg,"Drama,War&Politics",Kwak Jung-hwan,"Lee Jung-jae, Shin Min-a, Lee Elijah, Kim Dong-jun, Jung Jin-young","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
161,The Legend of Xiao Chuo,2020,8.0,https://www.themoviedb.org/tv/112542,https://image.tmdb.org/t/p/original/1gFLWSsC3JpvUkJvDnoP49jkHvg.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Tang Yan, Shawn Dou, Charmaine Sheh Sze-Man, Jing Chao, Tan Kai","Late in the 10th century, the Liao dynasty is at the zenith of its power. The omnipotent Liao rule much of what is now Northeast China, Mongolia, Russia, and much of the Korean Peninsula. Prime Minister Xiao Si Wen and Princess Yan have three daughters, with the youngest, Xiao Chao, their favourite.  Her heart belongs to the aspiring military commander, Han De Rang, whose family have served the Liao loyally for decades. However, her parents have other plans, sucessfully arranging her marriage to  Liao Emperor, Jin Zhong, whom she eventually concedes to marry.  As the Emperor’s queen, she becomes a fierce defender of the Liao by assisting in mobilizing the army, heading a 10,000-strong cavalry and providing support to the civil administration. Eventually, she will earn the title of Empress."
163,Emperor Wang Gun,2000,3.2,https://www.themoviedb.org/tv/17039,https://image.tmdb.org/t/p/original/65MbbOoGKkbwgMJD3QufjUr4O22.jpg,"Drama,War&Politics",Unknown,"Choi Soo-jong, Seo In-seok, Kim Yeong-cheol, Hye-ri Kim, Chang Gi-young","Taejo Wang Geon was a 200-episode Korean drama starring Choi Soo Jong in the title role. It became very successful, reaching very high ratings, around 60%."
164,Liberation of Shanghai,2022,5.5,https://www.themoviedb.org/tv/216895,https://image.tmdb.org/t/p/original/9vy0jGnbqypvpcyiumBsdZv40T5.jpg,"Drama,War&Politics",Unknown,"Zhang Jiayi, Liu Tao, Li Zefeng, Qiao Zhenyu, William Feng","The series provides a comprehensive look at Communist Party of China members' attempts to reconstruct the city and resurrect its economy after Shanghai was liberated in May 1949.

It depicts how the Party liberates the city and uses its wisdom, faith and unity to tackle a number of political, economic and social issues. They were successful in guiding Shanghai into a new era of peace, stability and development.

Based on true historical events, the drama focuses on the challenges faced by the city leaders in the first year after liberation. Party members had to fight bandits and enemy agents to stabilize social and political order and restore the city's production and trade."
165,Mobile Suit Gundam: The 08th MS Team,1996,7.971,https://www.themoviedb.org/tv/43887,https://image.tmdb.org/t/p/original/tzr1YdnPSIWMMgyb6Uzi3f9I8p3.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Nobuyuki Hiyama, Mami Koyama, Osamu Ichikawa, Kikuko Inoue, Keiji Fujiwara","Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon."
166,Sparrow,2016,5.6,https://www.themoviedb.org/tv/67727,https://image.tmdb.org/t/p/original/hjRxDSbLt7oXuvyfrGa7y6Hfg7m.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Li Yifeng, Zhou Dongyu, Zhang Luyi, Zhang Ruoyun, Kan Qingzi","This drama is set during the revolutionary time in Shanghai, based on a novel of the same name of Hai Fei. During the republican revolution, Chen Shen is a secret agent under Special Operations Executive Director Bi Zhongliang, among the agents called “sparrow” (similar to the program “zero” in Japan)"
167,Good Bye My Princess,2019,7.5,https://www.themoviedb.org/tv/86857,https://image.tmdb.org/t/p/original/vk1MYxqBvRMuUhVhORhSSEQ4Zj7.jpg,"Drama,War&Politics",Fei Wo Si Cun,"Peng Xiaoran, Chen Xingxu, Shawn Wei, Xia Wa, Najima","A love story revolves around the 9th Princess of Western Liang as she journeys to the Central Plains to fulfill a marriage alliance with the Crown Prince. Having received overwhelming love and admiration as the 9th Princess, Xiao Feng is forced to leave the life that she has known in order to become the Crown Princess. Her husband, the black-bellied Crown Prince, holds the highest position second only to one, the Emperor. However, the Eastern Palace is the most dangerous place to be. For political reasons, the Prince has no choice but to marry the Princess from a foreign land. He has his own favored concubine while she has her own life. Two parallel lines begin to intersect in a place fraught with danger and deadly power play and buried somewhere deep inside are memories that have yet to resurface."
168,A Beauty in Troubled Times,2012,0.0,https://www.themoviedb.org/tv/213472,https://image.tmdb.org/t/p/original/6lf50hpsCobMKobW21gDSodLVEy.jpg,"Drama,War&Politics",Unknown,"Tang Yan, Luo Jin, Tan Kai, Su Qing, Kelvin Lee","Set in 1930s Shanghai, Zhang Lianxin, a former maid, seeks love and freedom amidst China's war with Japan. She becomes entangled in a dangerous political conspiracy and forms a bond with Chong Yang, as they face numerous challenges together. Lianxin must navigate a complex love triangle while confronting the powerful forces around her, ultimately deciding her fate in a turbulent time."
169,Metal Armor Dragonar,1987,8.0,https://www.themoviedb.org/tv/9652,https://image.tmdb.org/t/p/original/aSKa8AxLn4qpYiIKzaysXN4Ju2u.jpg,"Sci-Fi&Fantasy,Animation,War&Politics,Action&Adventure",Unknown,"Masami Kikuchi, Hochu Otsuka, Kenyu Horiuchi, Kayoko Fujii, Akiko Hiramatsu","A.D. 2087 - the United Lunar Empire Giganos wages war on the Earth  Federation Military to take control of the planet and establish a  ""rebirth"" of the human race. During an invasion of a colony by Giganos' forces, three civilian men stumble upon a trio of top-secret Metal Armor units called ""Dragonars"" and pilot them to combat the enemy forces."
170,Dai-Guard: Terrestrial Defense Corp.,1999,6.0,https://www.themoviedb.org/tv/8664,https://image.tmdb.org/t/p/original/1DH0LKENOggunvkBR1xtP3RgAmM.jpg,"Comedy,Action&Adventure,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Chiharu Suzuka, Michiko Neya, Shin-ichiro Miki, Akiko Hiramatsu, Hiro Yuuki","Twelve years ago, the Earth was attacked by giant invaders. To defend our planet, the Earth's greatest minds and corporations assembled to design a giant robot of incredible power. Unfortunately, as with most government projects, the contract went to the lowest bidder. Fortunately, by the time the robot was ready, the mysterious invaders had already disappeared without a trace.

The giant robot became first a curiosity, then a tourist attraction. But now the invaders are back and the only thing in their way is Dai-Guard and a young team of office workers who've been supplementing their regular incomes as part time pilots and tour guides. Can these reluctant heroes halt their alien foes while simultaneously concealing the defects in their giant robot?"
171,The Jingbirok: A Memoir of Imjin War,2015,3.4,https://www.themoviedb.org/tv/83195,https://image.tmdb.org/t/p/original/6yOXrxINGmI3m4RkyEk3g4AIQ5P.jpg,"Action&Adventure,War&Politics",Unknown,"Kim Sang-joong, Kim Tae-woo, Lim Dong-jin, Lee Jae-yong, Kim Kyu-chul","Jingbirok, the name of a book written by real-life Joseon historian and scholar Ryu Seong Ryong (Kim Sang Joong),detailing the Imjin War (1592-1598). The drama will be a telling of historical events with the scholar as the central character, in the samevein as “Jung Do Jun”(who influenced the founding of the Joseon dynasty). Ryu Seong Ryong was an official who served during King Seonjo’s reign in the late 16th century. He was a brilliant Confucian scholar who was put in charge of military operations during the Imjin War, and greatly influenced AdmiralLee Soon Shin."
172,Brave Command Dagwon,1996,9.0,https://www.themoviedb.org/tv/98561,https://image.tmdb.org/t/p/original/uJ6tcad3zjPbhf55Y8VFOVsgxhn.jpg,"Drama,Action&Adventure,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Koichi Tochika, Takehito Koyasu, Jin Yamanoi, Hiro Yuuki, Atsushi Kisaichi","Brave Command Dagwon is a Japanese anime series begun in 1996, created by Takara and Sunrise under the direction of Tomomi Mochizuki (who also did screenplay for the show) and was the seventh and penultimate entry in the Brave (Yūsha) franchise."
173,The Road We Have Taken,2009,9.0,https://www.themoviedb.org/tv/62051,https://image.tmdb.org/t/p/original/hxlgpkvlh8cSdwgYaHJ4uez26Do.jpg,"Drama,War&Politics",Li Zhang,"Sun Honglei, Huang Zhizhong, Zhang Heng, Yang Xue, Ke Lan","Nation affairs, family affairs and outstanding soldiers In 1925, two brothers Yang Liren and Yang Chanqing successively left their home for Guangzhou to make a living. With the help of his elder sister Chanhua and CPC members Qu En and Qu Xia, Liqing passed the exam to Huangpu Military College. Influenced by communist thoughts and experiencing East Expedition and Northern Expedition, Liqing became an outstanding soldier..."
176,Boss,2011,7.195,https://www.themoviedb.org/tv/38922,https://image.tmdb.org/t/p/original/1alxC6GZwf0Q0g1XPvVt2j9JeWQ.jpg,"Crime,Drama,War&Politics",Farhad Safinia,"Kelsey Grammer, Connie Nielsen, Jeff Hephner, Kathleen Robertson, Troy Garity","Boss is an American political drama television serial created by Farhad Safinia. The series stars Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder."
177,The Legend Of The Song Dynasty: Zhao Kuang Yin,2015,0.0,https://www.themoviedb.org/tv/128877,https://image.tmdb.org/t/p/original/4XxDjwEVtwX2Izb8ykTyv4JO4bX.jpg,War&Politics,Unknown,"Chen Jianbin, Yin Tao, Shao Feng, Qiu Shuang, Wang Huichun","Zhao Kuangyin was the founding emperor of imperial China's Song Dynasty, reigning from 960 until his death. During his reign, he conquered the states of Southern Tang, Later Shu, Southern Han and Jingnan, thus reunifying most of China proper and effectively ending the tumultuous Five Dynasties and Ten Kingdoms period. He was succeeded by Emperor Taizong, his younger brother who possibly murdered him for the throne."
178,Taira no Kiyomori,2012,8.0,https://www.themoviedb.org/tv/41099,https://image.tmdb.org/t/p/original/azpWUUJBApctlG8cJoCTpFPLuyk.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Kenichi Matsuyama, Kiichi Nakai, Shota Matsuda, Arata Iura, Fumiyo Kohinata","Villain or hero, Taira no Kiyomori changed Japanese history forever 900 years ago. Without ever knowing his real father, Kiyomori was raised as a samurai. Together with his stepfather, he wiped out piracy along Japan's western coast, becoming a full-fledged warrior samurai. In an age when samurai were looked down on as members of the lower class, Kiyomori was skillful at winning the hearts and minds of the people. By rounding up surrendered pirates and achieving other successes, Kiyomori eventually became the de facto ruler of Japan."
180,The Conquest,2006,7.0,https://www.themoviedb.org/tv/80150,https://image.tmdb.org/t/p/original/zHhSkKGTUsvxWuAG7ARPfXUzfHE.jpg,"Drama,War&Politics",Unknown,"Chen Kun, Sonija Kwok Sin-Nae, Joe Ma Tak-Chung, Damian Lau Chung-Yan, Power Chan Kwok-Pong","Fan Lai, Au Tsin, Fu Chai, and Sai Sze navigate power struggles, love, and war during ancient China’s Spring and Autumn Period."
181,Heroes Of Nanqiao Mechanical Engineering,2015,7.5,https://www.themoviedb.org/tv/86280,https://image.tmdb.org/t/p/original/rBj22cDUUxDH8OcvkyXoLRcZKh9.jpg,"Drama,War&Politics",Unknown,"Choo Ja-hyun, Yu Rongguang, Yu Xiaoguang, Zhu Xiaoyu, Song Yuncheng","After the outbreak of the War of Resistance Against Japan, under the call of Tan Kah Kee, the leader of overseas Chinese in Southeast Asia, the overseas Chinese formed a ""Southern Overseas Chinese Technician Team"" to work as drivers and maintenance workers on the Myanmar-Burma Highway to join the anti-Japanese national salvation movement."
182,VICE,2013,6.94,https://www.themoviedb.org/tv/48552,https://image.tmdb.org/t/p/original/iyUbcAWYcCt6qoKNiqNQkrnUrwF.jpg,"News,Documentary,War&Politics",Shane Smith,Unknown,A documentary news series with a taboo-breaking team who deliver incredible news stories from around the world.
183,Sword of Fury,1979,0.0,https://www.themoviedb.org/tv/108007,https://image.tmdb.org/t/p/original/6Gq0rC8bXFeYhOLDEQTnudWjVWX.jpg,"Drama,Action&Adventure,War&Politics",Tsui Siu-Ming,"Pat Poon, Cub Chin Kong-Hon, Pui-chun Yuen, Lam Kwok-Hung, Yung Wai-Man","In the sixth year of Baoyou, the Mongol army pressed the border, and Fan Chengshun general Zhang Tianshun saved the people of Fancheng, handed over the yellow dragon sword containing the anti-yuan roster to the partial general Fan Guoxing, and then killed himself, so that Guoxing sent his head to surrender the enemy. Since then, Guoxing has been known as a traitor, and his son Fan Qiu was born in the countryside and lived incognito, and many years later he was discovered by Mrs. Qiu Wan, who ""pierced the heart with a sword"". During Qiusheng and Guoxing's exile, he met Liu Qinglian, who was ordered by his mother to insist on a duel with Mrs. Wan and killed her with her own hands. On the other side, Zhang Qi, who had been adopted by a Mongol since childhood, was arranged to appear as the son of Tianshun, and colluded with Ling Chufeng, the head of the famous sword gate, in an attempt to eliminate the anti-Yuan forces in the Central Plains."
184,The Learning Curve of a Warlord,2018,6.3,https://www.themoviedb.org/tv/85737,https://image.tmdb.org/t/p/original/2aeJwvnVDF0p4GCQE3y5aZGJ3ZW.jpg,"Comedy,Drama,War&Politics",Unknown,"Dicky Cheung Wai-Kin, Sisley Choi Si-Pui, Tony Hung, Zoie Tam, Vivien Yeo","During the chaotic Warlord Era, an eccentric soldier has a sudden stroke of luck and is promoted seven ranks to Marshal. He, along with his three silly friends, do all sorts of bizarre things. Meanwhile, externally, three wild warlords are eyeing him like a tiger. Internally, he doesn't know whether any of his three wives are spies. Ultimately, a battle for hegemony unfolds, with shells flying and dilemmas between friends."
185,Onna Taikoki,1981,0.0,https://www.themoviedb.org/tv/112410,https://image.tmdb.org/t/p/original/gx4P9tl9EAOCJ0O6MYPHVOfjBlB.jpg,"Drama,War&Politics",Sugako Hashida,"Harumi Munechika, Yoshiko Sakuma, Pinko Izumi, Mitsuo Senda, Toshiyuki Nishida","Focusing on the life of Nene, the good wife who supported Toyotomi Hideyoshi, the world of the Warring States and the rise and fall of the Toyotomi family are depicted from the perspective of a woman."
186,Strategist KANBE,2014,9.5,https://www.themoviedb.org/tv/65968,https://image.tmdb.org/t/p/original/1zuQsomE0Op76BsMCyNeK3OobzP.jpg,"Drama,War&Politics",Unknown,"Junichi Okada, Yosuke Eguchi, Miki Nakatani, Kirato Wakayama, Hitomi Kuroki","July 1590, Odawara. Toyotomi Hideyoshi's army had surrounded the Odawara Castle for over 3 months, hoping to conquer this last obstacle to his dream of the country's unification. Standing at the gate of the castle, a lone man facing the menacing guards shouted out: ""Do not throw your lives away. Treasure living!"". Not long after, the castle gates opened and the reigning lord surrendered. The name of that man is Kuroda Kanbee. An excellent military strategist, he worked hand-in-hand with Hideyoshi to unify the country."
187,Judge John Deed,2001,6.7,https://www.themoviedb.org/tv/4963,https://image.tmdb.org/t/p/original/ltAeTRyVxmWeU4G0vTZZtulNFSJ.jpg,"Crime,Drama,War&Politics",G.F. Newman,"Jenny Seagrove, Martin Shaw, Louisa Clein, Donald Sinden, Simon Chandler","Judge John Deed is a British legal drama television series produced by the BBC in association with One-Eyed Dog for BBC One. It was created by G.F. Newman and stars Martin Shaw as Sir John Deed, a High Court judge who tries to seek real justice in the cases before him. It also stars Jenny Seagrove as the barrister Jo Mills, frequently the object of Deed's desire. A pilot episode was broadcast on 9 January 2001, followed by the first full series on 26 November 2001. The sixth and last series concluded on 18 January 2007. The programme then went on an indefinite break after Shaw became involved in another television programme, and he and Seagrove expressed a wish for the format of the series to change before they filmed new episodes. By 2009, the series had officially been cancelled. The six series produced make it the longest-running BBC legal drama.

The factual accuracy of the series is often criticised by legal professionals and journalists; many of the decisions taken by Deed are unlikely to happen in a real court. The romanticised vision of the court system created by Newman caused a judge to issue a warning to a jury not to let the series influence their view of trials—referring to an episode where Deed flouts rules when called up for jury duty. Another episode led to complaints about biased and incorrect information about the MMR vaccine, leading the BBC to ban repeats of it in its original form. All six series have been released on DVD in the UK."
188,Decisive Victory,2021,6.0,https://www.themoviedb.org/tv/128144,https://image.tmdb.org/t/p/original/iLahGwSDwMGNT8llnFMkbePDax1.jpg,"Drama,War&Politics",Unknown,"Tang Guoqiang, Liu Jin, Wang Wufu, Su Qing, Yu Hewei","For the first time, the drama ""Decisive Victory"" presents a panoramic view of the three major battles of Liaoshen, Huaihai and Pingjin in the form of a TV series, presenting a dramatic battle of China's destiny. It presents the three battles in three dimensions by telling the stories of strategy, tactics and battles and presents a vivid individual in the grand war through colorful characters."
189,Yeon Gaesomun,2006,0.0,https://www.themoviedb.org/tv/3852,https://image.tmdb.org/t/p/original/htqsjHHjRXaI9NINANe6qhFC20A.jpg,"Drama,War&Politics",Lee Hwan Kyung,"Lee Se-eun, Choi Jae-sung, Son Tae-young, Yoo Dong-geun, Lee Tae-gon","The series follows the life of Yeon Gaesomun, a powerful military dictator in the waning days of the Goguryeo kingdom."
190,Tyrant,2014,6.651,https://www.themoviedb.org/tv/60972,https://image.tmdb.org/t/p/original/14xKxbF3Si8m5u0m5yPj9ZGlEkj.jpg,"Drama,War&Politics",Gideon Raff,"Adam Rayner, Jennifer Finnigan, Moran Atias, Ashraf Barhom, Noah Silver","The story of an unassuming American family drawn into the workings of a turbulent Middle Eastern nation. Bassam ""Barry"" Al Fayeed, the younger son of the dictator of a war-torn nation, ends a self-imposed 20-year exile to return to his homeland, accompanied by his American wife and children, for his nephew's wedding. Barry’s reluctant homecoming leads to a dramatic clash of cultures as he is thrown back into the familial and national politics of his youth."
191,Combat Mecha Xabungle,1982,5.0,https://www.themoviedb.org/tv/19524,https://image.tmdb.org/t/p/original/1Tel8X9n3ul64in7wN2H7kHfmtA.jpg,"Western,Drama,Action&Adventure,Comedy,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Kenichi Ogata, TARAKO, Shinya Ôtaki, Saeko Shimazu, Toshio Furukawa","Combat Mecha Xabungle, infrequently called Blue Gale Xabungle, is a mecha anime television series by Sunrise, and directed by Yoshiyuki Tomino. It was broadcast on the Nagoya TV and TV Asahi networks at 5:30 PM each Saturday from February 6, 1982 through January 29, 1983. Promotional toys were produced by Clover. It also had a compilation movie called Xabungle Graffiti, which added a few minutes and a whole-new ending to the series."
192,The Rebel,2021,9.2,https://www.themoviedb.org/tv/127123,https://image.tmdb.org/t/p/original/lsH3tZtCga5x8qn5m6w00vDmbsC.jpg,"Drama,Mystery,War&Politics",Unknown,"Zhu Yilong, Tong Yao, Wang Zhiwen, Wang Yang, Zhu Zhu","After ten years of knowledge and choice, after the victory of the War of Resistance Against Japan, Lin Nansheng has grown into a true Communist Party member. And at the critical moment of the War of Liberation, he made outstanding contributions to the party and the country."
193,The Return of the Condor Heroes,1983,7.2,https://www.themoviedb.org/tv/32152,https://image.tmdb.org/t/p/original/6I0eu1qFArRchIt7ds1VW1dCJXZ.jpg,"Sci-Fi&Fantasy,Drama,War&Politics",Unknown,"Andy Lau, Idy Chan Yuk-Lin, Bryan Leung, Susanna Au-Yeung Pui-San, Annie Liu On-Lai",The Return of the Condor Heroes is a Hong Kong television series adapted from Louis Cha's novel of the same title. It was first broadcast on TVB Jade from 31 October 1983 to 6 January 1984 in Hong Kong.
194,The Long Ballad,2021,8.5,https://www.themoviedb.org/tv/122182,https://image.tmdb.org/t/p/original/okG1wxwkfQjZ3txuTnLvNts28m.jpg,"Action&Adventure,War&Politics",Xia Da,"Dilraba Dilmurat, Leo Wu, Zhao Lusi, Liu Yuning, Cao Xiyue","Li Chang Ge's family was murdered by Li Shi Min, the Emperor of Tang, during the Xuanwu Gate Incident. She heads to Shuo Province under the guise of a man with hopes of raising an army to kill Li Shi Min to avenge her family's death. However, as a captain of the army of Shuo Province in Zhangzhou, she loses a siege by the Eastern Turkic Khaganate General Ashina Sun, who takes her to serve him as a personal military strategist."
