name,year,vote_average,page_url,image_url,genres,director,actors,description
Fullmetal Alchemist: Brotherhood,2009,8.7,https://www.themoviedb.org/tv/31911,https://image.tmdb.org/t/p/original/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",,"Romi Park, Rie Kugimiya, Shin-ichiro Miki, Fumiko Orikasa, Megumi Takamoto","Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable."
The Irregular at Magic High School,2014,7.792,https://www.themoviedb.org/tv/60833,https://image.tmdb.org/t/p/original/4mJpMjdghHo4LfvmP1q1mubkEvl.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",,"Yuichi Nakamura, Saori Hayami, Yoko Hikasa, Yumi Uchiyama, Takuma Terashima",In a world where magic is not a fairy tale but has existed for one hundred years siblings Tatsuya and Miyuki Shiba prepare to begin their studies at the elite Private Magic University Affiliated High School (Magic High School for short). Entering on different levels of the academic spectrum the two turn the once peaceful campus into a chaotic one.
iZombie,2015,7.793,https://www.themoviedb.org/tv/60866,https://image.tmdb.org/t/p/original/q4nqNwAhzVR7JuYctrWJvUWz3xR.jpg,"Drama, Crime, Sci-Fi & Fantasy","Diane Ruggiero, Rob Thomas","Rose McIver, David Anders, Robert Buckley, Malcolm Goodwin, Rahul Kohli","A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective."
Tales of Wedding Rings,2024,7.3,https://www.themoviedb.org/tv/218493,https://image.tmdb.org/t/p/original/mNuV7Jti0jYQh34OP2WdmhflTDQ.jpg,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",,"Gen Sato, Akari Kito, Miyuri Shimabukuro, Hitomi Ueda, Ai Kakuma","Sato is a high school boy in love with his best friend Hime, an unearthly beauty from another realm. So when she moves back to her home world to get married, Sato doesn’t think twice—he follows her and crashes the wedding. Then, after a kiss from Hime, he suddenly becomes the new groom! But here, Hime is a Ring Princess and her husband is destined to be the Ring King: a hero of immense power."
Sweet Home,2020,8.3,https://www.themoviedb.org/tv/96648,https://image.tmdb.org/t/p/original/ovLdkMclsr9NjkfRPgMaGDTHyGk.jpg,"Sci-Fi & Fantasy, Action & Adventure",,"Song Kang, Lee Jin-uk, Lee Si-young, Jung Jin-young, Lee Do-hyun","As humans turn into savage monsters and the world plunges into terror, a handful of survivors fight for their lives — and to hold on to their humanity."
Star Trek: Strange New Worlds,2022,8.021,https://www.themoviedb.org/tv/103516,https://image.tmdb.org/t/p/original/w6KapI2JvrCkOPmQhkwYPJNjqeo.jpg,"Sci-Fi & Fantasy, Drama","Akiva Goldsman, Alex Kurtzman, Jenny Lumet","Anson Mount, Ethan Peck, Jess Bush, Christina Chong, Celia Rose Gooding","Follow Captain Christopher Pike, Science Officer Spock and Number One in the years before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy."
Ranma1/2,2024,8.248,https://www.themoviedb.org/tv/259140,https://image.tmdb.org/t/p/original/zQhwc27CWHM4zx9lJU9bI5FRQOm.jpg,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",,"Kappei Yamaguchi, Megumi Hayashibara, Noriko Hidaka","Akane Tendo meets her new fiancé, Ranma Saotome, a martial arts prodigy with a twist: he magically transforms into a girl upon touching cold water."
The Ancient Magus' Bride,2017,8.396,https://www.themoviedb.org/tv/73833,https://image.tmdb.org/t/p/original/8jnA4eaJLj3GByaYIw2JroVln40.jpg,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",,"Atsumi Tanezaki, Ryota Takeuchi, Koki Uchiyama, Aya Endo, Minami Tsuda","Hatori Chise has lived a life full of neglect and abuse, devoid of anything resembling love. Far from the warmth of family, she has had her share of troubles and pitfalls. Just when all hope seems lost, a fateful encounter awaits her. When a man with the head of a beast, wielding strange powers, obtains her through a slave auction, Chise's life will never be the same again.

The man is a ""magus,""a sorcerer of great power, who decides to free Chise from the bonds of captivity. The magus then makes a bold statement: Chise will become his apprentice--and his bride!"
Legacies,2018,8.4,https://www.themoviedb.org/tv/79460,https://image.tmdb.org/t/p/original/qTZIgXrBKURBK1KrsT7fe3qwtl9.jpg,"Sci-Fi & Fantasy, Drama",Julie Plec,"Danielle Rose Russell, Aria Shahghasemi, Matthew Davis, Jenny Boyd, Quincy Fouse","In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted."
Cardcaptor Sakura,1998,8.6,https://www.themoviedb.org/tv/35790,https://image.tmdb.org/t/p/original/dj0uI34MOkZMTE233tfRebs0YYx.jpg,"Animation, Sci-Fi & Fantasy, Action & Adventure",,"Sakura Tange, Junko Iwao, Motoko Kumai, Aya Hisakawa, Emi Shinohara","Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world."
What We Do in the Shadows,2019,7.993,https://www.themoviedb.org/tv/83631,https://image.tmdb.org/t/p/original/wa3ZQE9kLnqwN3vQ0NNjg1NPsCa.jpg,"Comedy, Sci-Fi & Fantasy",Jemaine Clement,"Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén, Mark Proksch","A documentary-style look into the daily (or rather, nightly) lives of a group of vampires in Staten Island who have “lived” together for hundreds and hundreds of years."
Teen Titans,2003,8.363,https://www.themoviedb.org/tv/604,https://image.tmdb.org/t/p/original/7DCq6XbJx5WGKPvSMBxYK9uJQWQ.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch","Fighting for truth, justice and the last slice of pizza, these five superheroes are living proof you're never too young to save the planet. Protecting Earth and beyond, the Teen Titans use martial arts and gadgetry to battle villains."
Tojima Wants to Be a Kamen Rider,2025,8.2,https://www.themoviedb.org/tv/285788,https://image.tmdb.org/t/p/original/bD80ugDX7krshLcWxnqRYCOQPoo.jpg,"Animation, Comedy, Mystery, Sci-Fi & Fantasy, Drama",,"Katsuyuki Konishi, Ai Kayano, Kenichi Suzumura, Soma Saito, Fairouz Ai","Even after turning 40 years old, Tojima Tanzaburo still seriously wants to be a Kamen Rider. Just when it seems like his dream may never come true, he gets caught up in a series of infamous Shocker-inspired robberies... Shibata Yokusaru, the author of Air Master and 81 Diver, presents a story about adults who love Kamen Rider a little too much, and start playing pretend... for real!"
Teenage Mutant Ninja Turtles,2012,8.3,https://www.themoviedb.org/tv/51817,https://image.tmdb.org/t/p/original/n0DN6kJf0kGeuNFUYLT6eZe5ERR.jpg,"Action & Adventure, Kids, Animation, Sci-Fi & Fantasy, Comedy","Joshua Sternin, Ciro Nieli, Jennifer Ventimilia","Seth Green, Rob Paulsen, Sean Astin, Greg Cipes, Mae Whitman","The Teenage Mutant Ninja Turtles are back in an all-new animated series on Nickelodeon! Surfacing topside for the first time on their fifteenth birthday, the titular turtles, Leonardo, Michelangelo, Raphael and Donatello, find that life out of the sewers isn't exactly what they thought it would be. Now the turtles must work together as a team to take on new enemies that arise to take over New York City."
Star Wars Rebels,2014,7.721,https://www.themoviedb.org/tv/60554,https://image.tmdb.org/t/p/original/jmgR8330sKEJehr27rQ3bODnrlP.jpg,"Action & Adventure, Animation, Sci-Fi & Fantasy","Simon Kinberg, Carrie Beck, Dave Filoni","Freddie Prinze Jr., Taylor Gray, Vanessa Marshall, Tiya Sircar, Dave Filoni","Set between the events of Star Wars: Episodes III and IV, the story unfolds during a dark time when the evil Galactic Empire is tightening its grip of power on the galaxy. Imperial forces have occupied a remote planet and are ruining the lives of its people. The motley but clever crew of the starship Ghost — cowboy Jedi Kanan, ace pilot Hera, street-smart teenager Ezra, the “muscle” Zeb, warrior firebrand Sabine, and cantankerous old astromech droid Chopper — is among a select few who are brave enough to stand against the Empire. Together, they will face threatening new villains, encounter colorful adversaries, embark on thrilling adventures, and become heroes with the power to ignite a rebellion."
